OBJECTID,BLDG_NUM,building_number,BLDG_TYPE,BLDG_NAME,ShowFeatur,latitude,longitude
1,323,323,Greek Housing,Sigma Alpha Epsilon,Yes,-84.39452228,33.77611037
2,316,316,Greek Housing,Phi Kappa Sigma,Yes,-84.3916979,33.77612913
3,317,317,Greek Housing,Phi Kappa Tau,Yes,-84.39300239,33.77604542
4,308,308,Greek Housing,Delta Tau Delta,Yes,-84.39479754,33.77599614
5,312,312,Greek Housing,Lambda Chi Alpha,Yes,-84.3923712,33.776256
6,302,302,Greek Housing,Alpha Tau Omega,Yes,-84.39410697,33.77626166
7,332,332,Religious Org,Campus Christian Fellowship,Yes,-84.39161783,33.77561342
8,300,300,Greek Housing,Alpha Epsilon Pi,Yes,-84.39248113,33.77406699
9,328,328,Greek Housing,Theta Chi,Yes,-84.39235028,33.77761991
10,341,341,Religious Org,Catholic Center,Yes,-84.39298649,33.77552507
11,303,303,Greek Housing,Beta Theta Pi,Yes,-84.3944582,33.77550678
12,307,307,Greek Housing,Delta Sigma Phi,Yes,-84.3926057,33.77583778
13,311,311,Greek Housing,Kappa Sigma,Yes,-84.39319852,33.77792332
14,330,330,Greek Housing,Zeta Beta Tau,Yes,-84.39247064,33.77787811
15,329,329,Greek Housing,Theta Xi,Yes,-84.39152858,33.77586849
16,324,324,Greek Housing,Sigma Chi,Yes,-84.39232499,33.77569469
17,337,337,Greek Housing,Delta Sigma Theta,Yes,-84.39272105,33.77535854
18,314,314,Greek Housing,Phi Delta Theta,Yes,-84.39416016,33.77461554
19,334,334,Greek Housing,Alpha Delta Pi,Yes,-84.3928147,33.77450076
20,346,346,Religious Org,Presbyterian Center,Yes,-84.39232909,33.77445476
21,304,304,Greek Housing,Phi Kappa Psi,Yes,-84.39412099,33.77439374
22,177J,177J,Admin/Services,Whitehead  Pharmacy,Yes,-84.4031579,33.77473698
23,75,75,Academic/Research,Architecture West,Yes,-84.39607602,33.77608105
24,95,95,Academic/Research,Pettit Building,Yes,-84.3973434,33.7766169
25,344,344,Religious Org,Methodist Center / Wesley Foundation,Yes,-84.39332503,33.77609943
26,47,47,Admin/Services,Wardlaw Center,Yes,-84.39281384,33.77169941
30,170,170,Academic/Research,Global Learning & Conference Center,Yes,-84.38993451,33.77633202
31,173,173,Academic/Research,Economic Development,Yes,-84.38908405,33.77550539
32,172,172,Academic/Research,Management Building,Yes,-84.38785203,33.77636247
33,172J,172J,Admin/Services,Barnes & Noble Bookstore,Yes,-84.38847316,33.77639761
34,60A,060A,Academic/Research,Caddell Arch Annex,Yes,-84.3968525,33.77673116
36,331,331,Greek Housing,Alpha Chi Omega,Yes,-84.39291823,33.7748991
37,339,339,Religious Org,Baptist Student Union,Yes,-84.39225151,33.77476991
38,305,305,Greek Housing,Chi Psi,Yes,-84.39251132,33.77514041
39,325,325,Greek Housing,Sigma Nu,Yes,-84.39432289,33.77509094
40,322,322,Greek Housing,Alpha Xi Delta,Yes,-84.39184779,33.77783564
42,22A,022A,Academic/Research,Daniel Lab Addition,Yes,-84.39406356,33.77363814
43,333,333,Greek Housing,Alpha Gamma Delta,Yes,-84.39283572,33.77712777
45,343,343,Religious Org,Lutheran Center,Yes,-84.39312243,33.77669319
46,336,336,Greek Housing,Pi Kappa Phi,Yes,-84.39430135,33.77666032
47,318,318,Greek Housing,Phi Kappa Theta,Yes,-84.39389875,33.77666063
49,362,362,Greek Housing,Phi Mu,Yes,-84.39489205,33.77668569
50,335,335,Greek Housing,Delta Chi,Yes,-84.39295834,33.77660559
51,335,335,Greek Housing,Alpha Gamma Delta,Yes,-84.39278638,33.77671249
52,309,309,Greek Housing,Delta Upsilon,Yes,-84.39231658,33.77665226
54,327,327,Greek Housing,Tau Kappa Epsilon,Yes,-84.39236949,33.7771624
55,333,333,Greek Housing,Alpha Gamma Delta,Yes,-84.39302124,33.77714878
57,76,76,Academic/Research,Architecture East,Yes,-84.39550108,33.77593746
58,320,320,Greek Housing,Pi Kappa Alpha,Yes,-84.3952621,33.7767084
59,338,338,Greek Housing,Zeta Tau Alpha,Yes,-84.39335372,33.77716298
